City,Date,High,Low,Precipitation
Seattle,12/1/2013,13.333333333333334,7.777777777777779,0.3045685279187817
Seattle,12/2/2013,7.777777777777779,1.6666666666666667,0.45685279187817257
Seattle,12/3/2013,5.0,-0.5555555555555556,0.0
Seattle,12/4/2013,4.444444444444445,-2.2222222222222223,0.0
Seattle,12/5/2013,1.1111111111111112,-5.0,0.0
Seattle,12/6/2013,1.1111111111111112,-4.444444444444445,0.0
Seattle,12/7/2013,0.0,-7.222222222222222,0.0
Seattle,12/8/2013,2.2222222222222223,-6.666666666666667,0.0
Seattle,12/9/2013,1.1111111111111112,-5.0,0.0
Seattle,12/10/2013,5.555555555555555,0.5555555555555556,0.0
Seattle,12/11/2013,5.0,-1.6666666666666667,0.0
Seattle,12/12/2013,5.555555555555555,-0.5555555555555556,0.6852791878172589
Seattle,12/13/2013,9.444444444444445,5.555555555555555,0.050761421319796954
Seattle,12/14/2013,9.444444444444445,6.111111111111112,0.0
Seattle,12/15/2013,11.666666666666668,8.333333333333334,0.12690355329949238
Seattle,12/16/2013,10.0,4.444444444444445,0.025380710659898477
Seattle,12/17/2013,8.333333333333334,4.444444444444445,0.0
Seattle,12/18/2013,7.777777777777779,2.2222222222222223,0.12690355329949238
Seattle,12/19/2013,5.0,0.0,0.0
Seattle,12/20/2013,8.333333333333334,0.5555555555555556,0.5583756345177665
Seattle,12/21/2013,8.88888888888889,5.555555555555555,0.5583756345177665
Seattle,12/22/2013,10.555555555555555,8.333333333333334,1.065989847715736
Seattle,12/23/2013,11.666666666666668,6.111111111111112,0.15228426395939085
Seattle,12/24/2013,8.333333333333334,2.7777777777777777,0.0
Seattle,12/25/2013,6.666666666666667,1.6666666666666667,0.0
Seattle,12/26/2013,6.666666666666667,0.5555555555555556,0.0
Seattle,12/27/2013,8.88888888888889,0.0,0.025380710659898477
Seattle,12/28/2013,9.444444444444445,3.3333333333333335,0.0
Seattle,12/29/2013,7.222222222222222,1.6666666666666667,0.0
Seattle,12/30/2013,8.88888888888889,4.444444444444445,0.025380710659898477
Seattle,12/31/2013,8.333333333333334,5.0,0.050761421319796954
Seattle,1/1/2014,7.222222222222222,3.3333333333333335,0.0
Seattle,1/2/2014,10.555555555555555,6.111111111111112,0.40609137055837563
Seattle,1/3/2014,8.88888888888889,2.7777777777777777,0.15228426395939085
Seattle,1/4/2014,7.777777777777779,0.5555555555555556,0.0
Seattle,1/5/2014,8.333333333333334,-0.5555555555555556,0.0
Seattle,1/6/2014,7.777777777777779,-0.5555555555555556,0.025380710659898477
Seattle,1/7/2014,8.333333333333334,5.0,1.2182741116751268
Seattle,1/8/2014,10.0,7.222222222222222,0.9644670050761421
Seattle,1/9/2014,9.444444444444445,5.555555555555555,0.583756345177665
Seattle,1/10/2014,12.777777777777779,8.333333333333334,0.43147208121827413
Seattle,1/11/2014,14.444444444444445,7.222222222222222,2.131979695431472
Seattle,1/12/2014,11.11111111111111,5.555555555555555,0.15228426395939085
Seattle,1/13/2014,10.555555555555555,10.0,0.0
Seattle,1/14/2014,11.11111111111111,7.222222222222222,0.0
Seattle,1/15/2014,11.11111111111111,5.555555555555555,0.0
Seattle,1/16/2014,6.666666666666667,4.444444444444445,0.0
Seattle,1/17/2014,5.555555555555555,2.7777777777777777,0.0
Seattle,1/18/2014,9.444444444444445,0.5555555555555556,0.0
Seattle,1/19/2014,6.111111111111112,3.3333333333333335,0.0
Seattle,1/20/2014,10.0,2.7777777777777777,0.0
Seattle,1/21/2014,10.0,1.6666666666666667,0.0
Seattle,1/22/2014,9.444444444444445,5.555555555555555,0.050761421319796954
Seattle,1/23/2014,10.0,2.7777777777777777,0.0
Seattle,1/24/2014,12.777777777777779,1.1111111111111112,0.0
Seattle,1/25/2014,12.222222222222223,1.1111111111111112,0.0
